"pHSC" "Blasts"
"SGMS2" 4.40086202402429 8.68991364952552
"CYP1B1" 0.337457180048777 6.00297950471081
"LGALS3" 0.963856576336774 6.93482703001581
"MAP9" 6.87660258060151 1.12151004726619
"MYOF" 2.25726836147712 8.58401363829772
"PDE3A" 7.42875322082062 1.58254903091611
"SALL2" 5.94195900363954 0
"PARD3B" 6.0103955956223 0
"CD14" 0 5.69984097068882
"FCER1G" 5.54639688123756 10.9353310155729
"CRISPLD2" 0.653149863799036 6.32899828332191
"NCF2" 5.87101803911875 10.4953973421426
"LILRB2" 2.07578222887074 8.15019350812845
"EPS8" 3.13189958968211 8.46343455625115
"EHD2" 7.10063241190887 1.71593787252417
"MS4A7" 2.51559252607997 9.1435472694664
"UCHL1" 5.9059935603815 0
"NPR3" 12.0376512469719 7.21825966554814
"SRPX2" 5.78161671565416 0
"NKAIN2" 7.36543796234092 0.93324479837574
"MARCH1" 4.81063184385193 9.38511516660923
"LDOC1" 5.82057483790851 0
"MS4A14" 0.756852095140803 6.21906345222468
"GAS2L3" 3.2633405093932 7.80495316673117
"SCPEP1" 5.36920640355369 9.66052871572376
"AP000662.1" 2.1852225989527 0
"C5AR2" 0 5.37962643065694
"HNMT" 3.67278837697288 7.89518479599519
"NCKAP1" 6.53165513580341 0.837588900215842
"SGIP1" 7.15108075217397 2.08381631166899
"CLEC9A" 6.74369096485498 1.12151004726619
"ESR2" 6.34998523105575 0.837588900215842
"KCTD12" 6.62273580047128 11.1287107380692
"ZNF595" 6.47235031801436 0.702880046038587
"AL160272.1" 0.520756438309261 5.92744705105649
"RNF150" 7.09403591354162 0.897972761476607
"TYMP" 0.419394915092027 6.20902958393223
"DUBR" 7.04530627326552 2.73415851171854
"SORBS1" 7.80474181986906 2.71909953497924
"LINC01122" 7.20837384050178 0.94137209789182
"CD300C" 0.337457180048777 5.85255384230307
"MCEMP1" 1.65438404805705 7.48296070335125
"MIPOL1" 6.16220260124079 0.244471452300565
"SLAMF7" 0 5.13841355154859
"TMEM176B" 0.60456489617937 6.47860621916309
"ZNF204P" 5.66736908193121 0
"TMEM98" 5.56793588072072 0
"ARHGAP24" 0 5.18705008477213
"ADA2" 4.1752161369519 11.0366354077672
"MEG8" 5.53770822017434 0
"TMEM200A" 6.25199597302834 0.593117447915277
"ABCB1" 8.84910116465627 4.22685563276705
"AC007342.3" 0.337457180048777 5.74897758943394
"CCR2" 1.78604434475014 8.54931333117443
"RBFOX2" 7.56721314161573 2.37159873083913
"CEP126" 7.01055900598661 0.897972761476607
"NLGN1" 6.09443576482806 0.499172005335717
"DUSP6" 8.50998977024094 12.0000850416351
"APOL4" 8.39113184301435 2.72126904225802
"GPR34" 0 5.01289483451949
"SAMD12" 7.43047469678393 2.69789594651214
"KIAA1211" 7.10133545544575 2.94682311247016
"NRG4" 4.78184446838992 7.99173424161997
"FPR2" 0 5.14615234470143
"LILRA5" 0.520756438309261 5.6551064715817
"MPPED2" 7.01660103468928 2.53733655984185
"MARC1" 1.75384728439921 6.2754008830167
"BMPR1B" 6.01280161995564 0.499172005335717
"MEI4" 5.97084781615677 0.499172005335717
"HTR7" 0.905135524005423 6.89329831876799
"LRCH2" 5.37106050094168 0
"ALDH1A1" 11.2664205664149 4.34782186563072
"FAM133A" 5.42597486610011 0
"HCK" 2.82676743823216 8.80180649153674
"AFDN" 8.87430784374029 4.40831832716563
"AC064805.1" 0 5.07437897124876
"BHLHE41" 6.96362899980138 2.29216096744151
"FBP1" 0.639956939125127 6.24290270283059
"CX3CR1" 2.98500198785698 9.95057196847191
"LUCAT1" 1.53138460199109 6.90959793457991
"TBC1D8B" 6.38437015633449 1.42431906356132
"AL603766.1" 6.19763719604056 0.593117447915277
"SLC1A6" 5.75470133613707 0.244471452300565
"CEBPD" 1.2445218353045 6.08044673815227
"XIRP2" 6.1096983425239 0.593117447915277
"CSTA" 2.40005833456017 9.75699504909157
"LILRA2" 1.07507494407213 7.35211078282739
"OAS1" 4.54792566813812 8.21245123250891
"CLIP3" 6.08342470944435 0.983453261646252
"CDKN2B" 0.183299258260484 5.33343281154877
"LINC00877" 4.46374046659099 8.14939414538454
"SLC24A4" 2.4531412516513 6.88241217239778
"SERPINE2" 6.79243413692039 1.95197991423671
"LRRC25" 1.66618262133863 7.9239879802447
